followers,followees,numberOfPosts,imagePorcentage,sidecarPorcentage,videoPorcentage,isBusiness,isProfessional,hasLink,hideLikes,avgLikes,varLikes,avgComments,varComments,avgScore,varScore,avgTechScore,varTechScore,avgPhotosInSidecar,varPhotosInSidecar,avgTaggedUsers,varTaggedUsers,avgHeight,varHeight,avgWidth,varWidth,useLocation,isAccesible,cLength,cSubjectivity,cPolarity,cDifficultWords,cSecondsToRead,cEntropy,captionLength,captionSubjectivity,captionPolarity,captionDifficultWords,captionSecondsToRead,captionEntropy,captionAvgHashtags,captionVarHashtags,Photographer
4604,281,355,62.5,12.5,25.0,False,True,True,False,96.3,470.543,4.433,24.512,5.334,0.107,5.854,0.078,2,0.64,2.833,34.539,1074.0,13464.0,1080.0,13464.0,False,True,21.656,0,0,0.962,0.946,3.164,244.462,0,0,14.192,10.402,4.258,17.346,130.303,True
922,1573,193,3.23,96.77,0.0,True,True,True,False,45.5,933.983,0.8,3.293,5.673,0.078,5.824,0.12,10,0.958,0.1,0.09,937.467,17461.316,1080.0,17461.316,True,False,38.792,0,0,2.083,1.595,3.793,585.5,1,1,28.133,24.653,4.605,28.233,17.046,True
5561,584,3130,86.67,13.33,0.0,False,True,False,True,446.9,32337.157,3.633,9.166,5.066,0.087,5.1,0.122,4,3.188,0.1,0.157,1328.5,12726.783,1080.0,12726.783,False,True,49.287,0,0,1.796,1.998,3.997,97.467,0,0,4.567,3.979,4.529,4.333,0.756,False
598,630,650,100.0,0.0,0.0,False,False,False,True,355.0,0.0,10.6,44.973,5.22,0.127,4.572,0.131,0,0,0.033,0.032,1217.067,61260.196,1080.0,61260.196,True,True,102.487,0,0,4.299,4.241,4.239,667.133,0,0,33.333,28.431,4.672,29.833,0.339,False
276,302,170,70.97,25.81,3.23,False,True,False,False,120.0,0.0,1.0,0.0,5.208,0.184,5.131,0.28,3,0.609,0.0,0.0,1107.0,6561.0,1080.0,6561.0,False,False,19.0,1,1,1.0,0.85,3.577,394.733,0,0,14.533,16.908,4.591,24.8,29.893,False
821,502,1148,46.67,53.33,0.0,False,False,False,False,57.0,163.867,2.067,2.062,5.447,0.137,5.059,0.167,3,0.934,0.0,0.0,1038.0,17569.467,1080.0,17569.467,False,True,47.0,1,0,2.129,1.911,4.03,339.667,0,0,18.533,14.52,4.346,25.5,43.05,False
23690,1050,1591,74.19,22.58,3.23,True,True,True,False,1256.467,198004.316,63.267,799.129,5.627,0.211,4.533,0.188,3,1.837,9.933,0.062,979.7,63594.41,1080.0,63594.41,True,True,44.639,0,0,1.707,1.896,3.957,600.6,1,1,31.333,24.839,4.797,25.0,18.6,True
8,12,156,100.0,0.0,0.0,False,False,False,False,2.733,2.262,0.367,0.432,4.986,0.104,5.011,0.34,0,0,0.0,0.0,1202.267,70785.596,1080.0,70785.596,True,True,30.909,1,0,1.364,1.309,3.966,84.267,0,0,6.7,3.607,4.366,8.5,3.317,False
4420,693,469,51.35,29.73,18.92,True,True,True,False,186.3,3634.943,8.067,82.329,5.887,0.087,6.05,0.102,4,3.421,2.967,5.232,1096.8,78464.893,1080.0,78464.893,False,True,35.975,0,0,2.033,1.513,3.963,426.933,1,0,19.467,17.496,4.476,16.267,36.396,False
2948,1345,1575,12.9,83.87,3.23,False,True,True,True,69.667,777.622,3.633,17.299,5.702,0.084,5.023,0.301,5,2.765,0.033,0.032,1042.867,81416.316,1080.0,81416.316,False,False,38.648,0,0,2.287,1.605,3.979,619.5,1,1,22.733,24.68,4.471,13.133,39.516,True
666,52,817,96.67,3.33,0.0,False,True,True,False,0,0,0.393,0.596,4.728,0.077,5.674,0.133,2,0.0,0.533,0.782,1160.2,84056.36,1080.0,84056.36,False,True,32.091,0,0,1.545,1.305,3.986,202.433,0,0,10.5,8.142,4.574,9.167,1.272,True
32,149,102,100.0,0.0,0.0,False,True,False,False,3.333,3.156,0.833,0.672,5.513,0.065,6.025,0.164,0,0,0.0,0.0,1124.867,102351.249,1080.0,102351.249,False,True,39.12,0,0,2.2,1.634,4.187,278.967,0,0,20.2,12.044,4.089,19.6,23.24,True
1563,955,717,10.0,90.0,0.0,False,True,True,False,26.333,268.356,0.267,0.529,5.437,0.123,6.06,0.163,5,2.741,0.0,0.0,1080.033,0.032,1080.0,0.032,False,False,69.75,0,0,1.875,2.761,3.989,438.2,1,1,13.5,17.186,4.403,6.5,0.65,True
2511,1348,566,66.67,24.24,9.09,False,True,True,True,46.433,178.979,2.1,4.29,5.486,0.201,5.438,0.344,2,0.234,0.0,0.0,1175.1,15643.09,1080.0,15643.09,False,True,29.746,0,0,1.635,1.267,3.931,304.633,0,0,16.567,12.627,4.51,21.267,10.929,True
6302,400,364,37.14,48.57,14.29,True,True,True,False,50.667,2036.556,3.7,23.41,5.44,0.181,5.335,0.281,4,3.709,0.4,0.973,1098.767,81743.446,1065.333,81743.446,True,False,49.0,0,0,2.396,1.984,3.909,278.467,0,0,10.567,11.024,4.123,6.167,133.139,False
1104,1417,132,90.91,0.0,9.09,False,True,True,False,39.167,466.006,2.667,36.956,4.983,0.166,5.2,0.38,0,0,0.3,0.543,1042.2,35604.36,1080.0,35604.36,False,True,32.756,0,0,1.705,1.358,3.787,157.214,0,0,8.929,6.75,4.257,10.857,16.694,False
605,698,1154,86.67,13.33,0.0,False,False,False,False,32.967,123.299,1.267,1.796,5.566,0.323,4.936,0.356,10,0.0,0.033,0.032,1091.1,101328.623,1047.0,101328.623,False,True,39.632,0,0,2.132,1.636,4.069,278.067,0,0,17.6,12.134,4.172,23.6,9.44,False
340,728,186,56.86,1.96,41.18,False,False,False,True,6.233,6.246,0.4,0.507,4.758,0.301,4.926,0.218,3,0.0,0.033,0.032,1179.233,53142.179,1080.0,53142.179,True,True,56.25,0,0,2.833,2.261,4.147,191.6,0,0,12.4,7.987,4.33,16.64,75.99,False
1008,473,791,70.97,29.03,0.0,False,False,False,True,98.0,0.0,1.733,30.396,5.221,0.093,4.877,0.217,4,3.75,0.0,0.0,1053.267,14442.996,1058.0,14442.996,True,False,100.212,1,1,2.942,3.988,4.194,506.6,0,1,22.233,20.109,4.703,13.0,22.4,False
2479,1323,1657,0.0,100.0,0.0,True,True,True,False,0,0,2.667,3.222,5.211,0.105,5.543,0.164,6,2.133,10.967,6.099,719.8,0.56,1080.0,0.56,True,False,43.487,0,0,1.762,1.742,3.716,406.6,0,0,19.567,17.498,4.518,19.3,1.61,True
106,112,81,100.0,0.0,0.0,False,True,False,False,21.167,52.206,0.5,0.917,4.789,0.153,4.973,0.305,0,0,0.767,1.912,1055.333,8276.556,1080.0,8276.556,True,True,36.867,0,0,1.933,1.511,3.743,307.067,0,0,17.567,13.032,4.487,20.0,39.6,True
169,303,562,73.33,26.67,0.0,False,False,False,False,25.233,80.046,0.533,1.316,5.103,0.109,5.209,0.166,3,0.859,0.0,0.0,1080.0,0.0,1080.0,0.0,False,True,29.938,0,0,1.75,1.301,3.961,337.967,0,0,21.033,14.074,4.761,23.1,0.29,False
59,9,26,92.31,7.69,0.0,False,False,True,False,12.462,31.018,1.308,2.367,5.136,0.093,5.358,0.596,3,0.0,1.115,1.102,1209.885,57130.41,1080.0,57130.41,True,True,38.794,0,0,1.941,1.589,3.874,285.192,0,0,14.692,12.048,4.205,17.769,20.562,False
9823,197,90,42.86,28.57,28.57,False,False,False,False,122.033,319643.699,2.3,4.077,5.316,0.32,5.777,0.412,4,5.639,1.467,1.449,1101.267,98796.729,992.0,98796.729,True,True,29.841,0,0,1.275,1.26,3.759,322.862,0,0,15.966,13.656,4.51,12.172,56.212,False
22931,1,401,71.43,14.29,14.29,False,True,True,False,2029.933,268935.529,2.233,9.046,5.281,0.159,4.816,0.236,5,1.2,0.033,0.032,995.667,30491.222,1005.0,30491.222,False,True,91.313,0,0,3.224,3.706,4.091,392.067,0,0,19.133,16.802,4.232,26.167,46.406,True
128,665,175,73.33,26.67,0.0,False,True,False,False,19.6,63.44,0.7,0.543,5.217,0.087,5.313,0.261,2,0.0,0.0,0.0,1143.1,81122.557,1080.0,81122.557,True,True,23.25,0,0,1.85,0.991,3.792,228.867,0,0,14.6,9.907,4.368,16.7,3.077,True
511,471,442,60.0,40.0,0.0,False,True,True,False,59.8,83.293,0.138,0.119,5.08,0.091,5.345,0.132,3,1.333,1.233,1.112,958.933,84857.862,1080.0,84857.862,True,False,59.5,1,0,2.75,2.55,4.164,313.233,0,0,11.6,12.777,4.302,19.4,5.64,True
